SampleID,16Scopies_r1,16Scopies_r2,16Scopies_r3,Cq_r1,Cq_r2,Cq_r3,16S_copies_median,Cq_median
A1.raw,30370500,,21316671,8.35,,8.99,25843585,8.67
A2.raw,369829,615165,487646,16.32,15.40,15.82,487646,15.82
A3.raw,3215222,5621086,,12.41,11.40,,4418154,11.91
A4.raw,112605,96449,108328,18.47,18.75,18.54,108328,18.54
A5.raw,876444,1730530,,14.76,13.53,,1303487,14.15
A6.raw,32997650,,32997650,8.20,,8.20,32997650,8.20
A7.raw,1474073,1474073,1788922,13.82,13.82,13.47,1474073,13.82
A8.raw,,1111766,1730530,,14.33,13.53,1421148,13.93
A9.raw,344171,306430,301387,16.45,16.66,16.69,306430,16.66
B1.raw,,,,,,,,
B2.raw,653754,815638,569328,15.29,14.89,15.54,653754,15.29
B3.raw,,347999,361737,,16.43,16.36,354868,16.40
B4.raw,538694,471729,,15.64,15.88,,505211,15.76
B5.raw,,847836,1099535,,14.82,14.35,973686,14.59
B6.raw,683331,493070,313285,15.21,15.80,16.62,493070,15.80
B7.raw,174309,192556,190438,17.68,17.50,17.52,190438,17.52
B8.raw,21190,14467,20161,21.49,22.18,21.58,20161,21.58
B9.raw,172391,124392,,17.70,18.29,,148392,18.00
C1.raw,32097607,18359610,,8.25,9.26,,25228609,8.76
C2.raw,105373,105373,,18.59,18.59,,105373,18.59
C3.raw,824710,,661026,14.87,,15.27,742868,15.07
C4.raw,106546,123024,,18.57,18.31,,114785,18.44
C5.raw,,119668,121670,,18.36,18.33,120669,18.35
C6.raw,,3215222,5004685,,12.41,11.61,4109953,12.01
C7.raw,98063,120999,87794,18.72,18.34,18.92,98063,18.72
C8.raw,301387,213893,,16.69,17.31,,257640,17.00
C9.raw,793390,,474345,14.94,,15.87,633868,15.41
D1.raw,7535811,3197488,,1.87,12.42,,5366649,7.15
D2.raw,1057778,891108,,14.42,14.73,,974443,14.58
D3.raw,327458,,206911,16.54,,17.37,267185,16.96
D4.raw,123706,,114489,18.30,,18.44,119097,18.37
D5.raw,106546,,66582,18.57,,19.42,86564,19.00
D6.raw,1040372,1387063,,14.45,13.93,,1213717,14.19
D7.raw,3197488,2753931,,12.42,12.69,,2975709,12.56
D8.raw,14073,17364,13995,22.23,21.85,22.24,14073,22.23
D9.raw,,54864,69981,,19.77,19.33,62422,19.55
E1.raw,,1575229,1692664,,13.70,13.57,1633947,13.64
E2.raw,,269826,346080,,16.89,16.44,307953,16.67
E3.raw,37251,,35837,2.47,,2.54,36544,2.51
E4.raw,,65125,61281,,19.46,19.57,63203,19.52
E5.raw,,201267,224810,,17.42,17.22,213038,17.32
E6.raw,,68072,60607,,19.38,19.59,64339,19.49
E7.raw,104792,56091,29043,18.60,19.73,2.92,56091,18.60
E8.raw,,56402,57346,,19.72,19.69,56874,19.71
E9.raw,29205,17851,24065,2.91,21.80,21.26,24065,21.26
F1.raw,,3110274,3162313,,12.47,12.44,3136293,12.46
F2.raw,,278930,386561,,16.83,16.24,332745,16.54
