Species_name	A1	A2	A3	A5	A6	A7	A8	A9	B2	B3	B4	B5	B6	B7	B8	BL	BL	BL	BL	BL	BL	BL	C1	C2	C3	C4	C6	C7	C8	C9	D1	D2	D5	D6	D7	D8	E1	E2	E5	E6	E8	F1	F2	F3	F4	F5	F6	F7	F8	F9	G1	G3	G4	G5	G7	G8	H1	H2	H3	H4	H5	H6	H7	H8	H9	I1	I6	I8	I9	J1	J2	J3	J4	J5	J6	J7	J8	J9
s__Actinomyces_graevenitzii	1.11364	0.86225	4.30504	15.530710000000001	4.20316	2.44151	3.51874	1.1498899999999999	0.0	0.0	0.0	0.0	0.24199	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6511399999999999	0.01195	0.0	0.9888600000000001	0.19385	0.0	1.25401	0.58597	0.07855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5784	0.63441	1.1548200000000002	0.07407000000000001	0.0	0.15027000000000001	0.0	0.0	1.3593	0.0	0.40252	0.09047000000000001	0.0	1.9096099999999998	0.0	0.0	0.0	0.0	0.38045999999999996	2.19308	0.80703	1.32318	0.89402	0.28452	0.71043	0.50575	0.042960000000000005
s__Actinomyces_johnsonii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045810000000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1249	0.0	0.14824	0.04301	0.01463	0.0	0.0	0.0
s__Actinomyces_massiliensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24672	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Actinomyces_naeslundii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19580999999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10525999999999999	0.0	0.0	0.11861	0.0	0.0	0.0	0.0
s__Actinomyces_odontolyticus	0.29315	0.0	0.18539	0.22887	0.20296	0.40618000000000004	0.8700100000000001	0.02545	0.13414	0.0	0.20302	0.17155	0.4159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.038939999999999995	0.0	0.0	0.0	0.39561	0.0	0.0	0.09692	0.81758	0.8724200000000001	0.78586	0.20938	0.62863	0.0	0.05538	0.01462	0.0	0.0	0.0	0.28279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.30815	0.0	0.0	0.5240199999999999	0.84515	0.64207	0.65353	0.0	3.85167	2.9574599999999998	0.77344	1.27952	0.6008399999999999	0.62543	0.0	0.0	0.0	0.0	0.0	0.24845	0.12190999999999999	0.28791	0.26015	0.8445600000000001	0.34731999999999996	0.04065	0.38421	0.0
s__Actinomyces_oris	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.30113	0.04318	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.042210000000000004	0.92353	0.0	0.07072	0.09715	0.52847	0.15	0.08295	0.0
s__Actinomyces_sp_HPA0247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.82917	2.61076	0.0	0.0	0.0	0.0	0.0
s__Actinomyces_sp_ICM47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.68159	0.0	5.87514	8.652999999999999	0.0	0.0	0.0	0.0
s__Actinomyces_viscosus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10377	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02513	0.0	0.0	0.0	0.0	0.0	0.02423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.40578	0.27019	0.055479999999999995	0.0	0.0	0.0	0.0	0.09017	0.0	0.05075	0.0	0.0	0.0	0.0	0.0	0.03575	0.70753	0.03978	0.033319999999999995	0.19955	0.66576	0.43276000000000003	0.22746999999999998	0.0
s__Corynebacterium_durum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013040000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1409	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08016000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00662	0.0	0.0	0.12070999999999998	0.0
